id,org_id,project_id,assignee_id,title,description,status,priority_score,estimated_time,actual_time,tags,created_at,updated_at,deadline
f3172753-477a-4c2f-af1e-1da6a15f31e6,46aca87d-8a75-469f-9752-e9537c6108f0,49f8fef2-04c6-4b23-83bd-663cb8d20f74,60f507f8-6a78-4682-8bf8-6db748ff1851,Fix: Agent every development say,Opportunity all behavior discussion. Ago current practice nation determine operation speak according. Recently future choice whatever.,done,3,1.5,1.4,Bug,2026-02-20T10:48:08Z,2026-04-18T10:48:08Z,2026-02-26T10:48:08Z
c6a350ae-c85c-4c99-b5e8-4c933162fb14,aecf894d-fe7c-4954-be81-be28177aabce,479bc910-2efe-4116-8a85-10422d5572e3,6b367632-84e0-45f7-a3ae-a9f082f7d42d,Fix: Bill here grow gas enough analysis,By two bad fall pick those gun. Relate animal direction eye bag. Term herself law street class.,done,3,4.2,4.6,Bug,2026-02-19T10:48:08Z,2026-03-20T10:48:08Z,2026-02-26T10:48:08Z
324fe020-3993-4fd2-a15c-6ad38c4bf459,984bc9b3-a782-4622-aed5-e0991abfa1d9,9eca56e1-54f5-4b19-b69a-3765c2393b94,cdbf6a61-06e4-4fd4-bbcd-1f85a6147fa7,Fix: Decide environment view possible participant commercial,Left establish understand read. Range successful simply director allow.,todo,2,7.2,,Bug,2026-03-22T10:48:08Z,2026-05-01T10:48:08Z,2026-03-23T10:48:08Z
418d5338-1189-4d8b-bf1e-3ecd55729256,9c9af11d-5c46-4a28-8a2f-9965708ef403,d0df31b8-658f-4fdf-9367-7cef8151c5dd,2921d77d-bcb4-4985-88d8-1019aa2371ce,Implement Husband at tree note responsibility,How trip learn enter east no enjoy. Investment on gun young catch management sense technology.,todo,3,1.1,,Feature,2026-04-10T10:48:08Z,2026-04-26T10:48:08Z,2026-04-23T10:48:08Z
19898674-30fd-4217-b0d1-8f09cb3c456e,475c93d4-94d5-4f75-9715-0cae9762eb07,8d544355-537c-4bfa-9976-1a29008fd438,4f0f1249-8539-4784-9fbc-a3ce0899a525,Fix: Physical society instead as,You more wife team activity result race Mr. Shoulder future fall citizen about. Will seven medical blood personal.,done,3,9.8,11.5,Bug,2026-04-09T10:48:08Z,2026-05-01T10:48:08Z,2026-04-13T10:48:08Z
72ef00d2-efa0-4368-8579-8e21d3a30808,984bc9b3-a782-4622-aed5-e0991abfa1d9,479bc910-2efe-4116-8a85-10422d5572e3,4e4ff266-fe24-4f1f-b41f-2602e5a6df2d,Participant check several much single morning a,Affect upon these story film around there. Beat magazine attorney set. Campaign little near enter.,cancelled,4,2.5,1.2,Task,2026-03-17T10:48:08Z,2026-03-21T10:48:08Z,2026-03-22T10:48:08Z
4ceacdcd-0367-4c0e-9bc9-3a2d0d782476,0b86c0e1-18f3-4591-8e09-b3786ecb8478,a38955a3-5de1-4a62-b787-8e12a3707030,a838d256-3889-4d6d-b5dd-94cac64f4b23,Institution deep much role cut find yet practice,Later easy ask again network open according. Arrive attack all form method everything magazine much. Office drug list imagine behind probably great.,in_progress,1,1.3,,Task,2026-02-08T10:48:08Z,2026-03-13T10:48:08Z,2026-02-17T10:48:08Z
7ac71034-ce7d-433c-af62-dd4894c5f1ff,bed9d9bb-75c4-4d3f-9b12-516572fac7ae,018ffe30-4f1f-42b6-a2d7-8a445f441bcf,393d6f76-5154-43f8-8f64-76cf837907af,Implement Level rock pull worker better,Song body court movie cell contain. Economic type kitchen technology nearly anything yourself. Why unit support.,done,3,4.8,5.2,Feature,2026-04-10T10:48:08Z,2026-04-10T10:48:08Z,2026-04-15T10:48:08Z
f96d2243-83ef-4e2c-9f34-c1ce30be7cb7,46aca87d-8a75-469f-9752-e9537c6108f0,0bdbfecd-31fa-4fee-805d-505dcc3fefb4,0c262622-d33f-49d8-8abf-d77ba397e1a0,Implement Image loss ten total,Able hospital unit size expect recent. Product main couple design around save article.,todo,4,1.9,,Feature,2026-03-30T10:48:08Z,2026-05-06T10:48:08Z,2026-04-12T10:48:08Z
8a0be71d-d9aa-404a-9800-c5137edc8f75,bed9d9bb-75c4-4d3f-9b12-516572fac7ae,cb0a6041-c974-4a21-a6fb-f910f36e6f01,a0ad5408-bafd-45ba-8836-e5f7b993f769,Arm once me system church whether,Attention attack technology identify. East organization people information on mission various.,done,4,2.6,4.0,Task,2026-04-02T10:48:08Z,2026-04-20T10:48:08Z,2026-04-06T10:48:08Z
